
X        Y        RA               DEC              I             DI            Q             DQ            U             DU            P             DP            ANG           DANG          PI            DPI           AST           ID           
3.5      -35.5    17:45:42.780     -29:01:23.50     1097.72       2.02946       14.6952       0.905922      0.879016      0.623155      1.34109       0.0824873     1.71158       1.21506       14.7215       0.905071      1             57           
4.5      -35.5    17:45:41.869     -29:01:23.50     1126.07       1.77424       12.2309       0.671546      0.541759      0.870206      1.08722       0.0597006     1.26811       2.03545       12.2429       0.671992      1             58           
5.5      -35.5    17:45:40.951     -29:01:23.50     1170.57       2.24956       8.71046       0.728577      5.94766       0.738887      0.901044      0.0625466     17.163        1.99804       10.5474       0.731871      1             59           
6.5      -35.5    17:45:40.033     -29:01:23.50     1222.07       3.71983       2.31868       0.63167       11.6446       0.740228      0.971568      0.0603294     39.3693       1.53491       11.8732       0.736381      1             60           
7.5      -35.5    17:45:39.122     -29:01:23.49     1527.33       3.39032       -6.43924      0.963413      8.46468       0.7592        0.69635       0.0550094     63.6305       2.40805       10.6355       0.839842      1             61           
8.5      -35.5    17:45:38.204     -29:01:23.49     1570.51       2.59762       -9.78561      0.748623      3.80035       0.838978      0.668424      0.0484731     79.3879       2.25877       10.4977       0.761076      1             62           
9.5      -35.5    17:45:37.299     -29:01:23.48     1173.24       2.75074       -5.02189      0.693397      -0.94658      0.679478      0.435572      0.0590694     -84.6628      3.81178       5.11033       0.692924      1             63           
10.5     -35.5    17:45:36.381     -29:01:23.48     1165.78       2.97896       -3.86112      0.676176      -3.86958      0.726671      0.468908      0.0602235     -67.4686      3.67804       5.46643       0.701933      1             64           
11.5     -35.5    17:45:35.463     -29:01:23.48     1249.24       4.0244        -5.50801      0.752548      -9.18284      0.771349      0.857168      0.0614131     -60.478       2.02676       10.7081       0.76642       1             65           
12.5     -35.5    17:45:34.551     -29:01:23.48     803.057       1.80427       -3.82518      0.725842      -9.22888      0.726744      1.24402       0.0905239     -56.2565      2.0818        9.9902        0.726611      1             66           
13.5     -35.5    17:45:33.633     -29:01:23.47     404.55        1.51646       0.0508697     0.662269      -4.70114      0.716998      1.16213       0.177285      -44.69        4.03555       4.70142       0.716991      1             67           
17.5     -35.5    17:45:29.975     -29:01:23.44     91.4816       1.60619       -1.93239      0.797246      0.92711       0.799448      2.34286       0.872903      77.1848       10.6802       2.14328       0.797658      1             68           
-5.5     -34.5    17:45:51.016     -29:01:11.49     895.808       1.77566       -1.07077      0.769275      3.01598       0.939392      0.357266      0.102916      54.7733       7.07278       3.20042       0.921911      1             69           
-1.5     -34.5    17:45:47.357     -29:01:11.50     476.831       4.13042       -7.1791       0.771076      6.46445       0.86591       2.02602       0.171799      68.9992       2.44586       9.66067       0.814905      1             70           
-0.5     -34.5    17:45:46.446     -29:01:11.50     602.281       2.18657       -4.91892      0.879568      6.66549       0.889871      1.37544       0.147234      63.2131       3.05435       8.28399       0.886252      1             71           
0.5      -34.5    17:45:45.528     -29:01:11.50     898.386       4.17045       3.30733       0.804923      5.47227       0.800384      0.711729      0.089288      29.426        3.60093       6.39407       0.801601      1             72           
1.5      -34.5    17:45:44.610     -29:01:11.50     744.45        2.67963       4.3531        0.745265      5.90733       0.942444      0.985692      0.118009      26.8068       3.20164       7.33798       0.878117      1             73           
2.5      -34.5    17:45:43.698     -29:01:11.50     597.653       2.06899       11.9679       0.933816      1.44203       0.96054       2.01696       0.156468      3.43527       2.28187       12.0544       0.934204      1             74           
3.5      -34.5    17:45:42.780     -29:01:11.50     811.027       1.31597       12.4212       0.845325      -5.67671      0.826717      1.6839        0.103872      -12.2806      1.741         13.6569       0.84214       1             75           
4.5      -34.5    17:45:41.869     -29:01:11.50     1085.82       2.3694        9.87693       0.669681      0.0605553     0.828749      0.909643      0.0617075     0.175638      2.40371       9.87711       0.669688      1             76           
5.5      -34.5    17:45:40.951     -29:01:11.49     1599.52       2.28269       5.14112       0.794136      5.34721       0.716233      0.463751      0.0471849     23.0629       2.92633       7.4178        0.754658      1             77           
6.5      -34.5    17:45:40.033     -29:01:11.49     2148.48       4.49508       2.63796       0.933241      16.0424       0.817312      0.756717      0.0382261     40.331        1.63941       16.2579       0.820574      1             78           
7.5      -34.5    17:45:39.122     -29:01:11.49     2766.45       7.69316       -12.7464      0.74309       15.441        1.09736       0.723757      0.0351032     64.7697       1.29281       20.0224       0.969514      1             79           
8.5      -34.5    17:45:38.210     -29:01:11.49     2129.06       3.94795       -15.2259      0.914478      2.60418       0.709308      0.725531      0.0427296     85.1471       1.3278        15.447        0.909287      1             80           
9.5      -34.5    17:45:37.299     -29:01:11.49     1146.98       4.22164       -5.59216      0.572623      -4.82804      0.499937      0.644123      0.0473813     -69.597       2.06366       7.38797       0.542774      1             81           
10.5     -34.5    17:45:36.381     -29:01:11.48     1119.01       1.84548       0.208821      0.854529      -6.89555      0.691934      0.6165        0.0618577     -44.1327      3.548         6.89871       0.692101      1             82           
11.5     -34.5    17:45:35.463     -29:01:11.48     1048.76       3.1618        -2.96115      0.867641      -8.2501       0.9398        0.835789      0.088888      -54.8721      2.8636        8.76542       0.931847      1             83           
12.5     -34.5    17:45:34.551     -29:01:11.48     569.147       1.38248       -1.68624      0.754725      -7.06412      0.925194      1.27605       0.161115      -51.7128      3.01715       7.26259       0.916813      1             84           
13.5     -34.5    17:45:33.633     -29:01:11.47     149.605       1.87662       0.889691      0.991476      -2.17537      0.823664      1.57099       0.568337      -33.8781      11.8139       2.35027       0.849748      1             85           
-1.5     -33.5    17:45:47.357     -29:00:59.50     496.211       3.00681       -10.8688      1.065         1.10454       0.993844      2.20165       0.2149        87.0986       2.60811       10.9248       1.0643        1             86           
-0.5     -33.5    17:45:46.446     -29:00:59.50     255.762       2.5814        -1.74603      0.849279      1.41954       0.941999      0.879829      0.347053      70.4442       11.5372       2.25027       0.887339      1             87           
0.5      -33.5    17:45:45.528     -29:00:59.50     262.165       2.0672        6.70786       0.809834      0.25953       0.833481      2.56055       0.309575      1.10785       3.55682       6.71287       0.80987       1             88           
1.5      -33.5    17:45:44.610     -29:00:59.50     266.395       2.07713       1.874         0.772747      6.07248       0.725744      2.38558       0.274642      36.4248       3.46554       6.35506       0.729951      1             89           
2.5      -33.5    17:45:43.698     -29:00:59.50     326.694       2.28748       7.66255       0.951624      -0.956345     0.69183       2.36368       0.290706      -3.55708      2.58412       7.722         0.948177      1             90           
3.5      -33.5    17:45:42.780     -29:00:59.50     593.552       2.21725       11.2694       1.00687       -1.90735      0.950398      1.92563       0.16953       -4.80316      2.38619       11.4296       1.00534       1             91           
4.5      -33.5    17:45:41.869     -29:00:59.50     1228.59       2.35889       7.73873       0.734525      -0.050787     0.908029      0.629899      0.0597987     -0.188005     3.36132       7.73889       0.734533      1             92           
5.5      -33.5    17:45:40.951     -29:00:59.50     1702.83       3.78564       1.03416       0.761929      4.27224       0.714959      0.258137      0.0421479     38.1962       4.94932       4.39563       0.71764       1             93           
6.5      -33.5    17:45:40.033     -29:00:59.49     1928.57       7.04487       -0.0786883    0.724426      13.3965       0.873008      0.694647      0.045338      45.1683       1.54914       13.3967       0.873003      1             94           
7.5      -33.5    17:45:39.122     -29:00:59.49     3190.05       7.60913       -15.3674      0.800698      17.6997       0.714138      0.734787      0.023656      65.4827       0.934592      23.4401       0.752563      1             95           
8.5      -33.5    17:45:38.210     -29:00:59.49     2708.32       7.47762       -18.0282      0.744178      -0.012183     0.674581      0.665662      0.0275389     -89.9806      1.07195       18.0282       0.744178      1             96           
9.5      -33.5    17:45:37.299     -29:00:59.48     1213.49       3.79786       -2.88531      0.921759      -7.4386       0.725267      0.657493      0.0621593     -55.6002      3.22618       7.97859       0.75388       1             97           
10.5     -33.5    17:45:36.381     -29:00:59.48     751.147       1.9878        4.47709       0.841552      -7.16956      0.847534      1.1253        0.112648      -29.0085      2.85791       8.45263       0.84586       1             98           
11.5     -33.5    17:45:35.463     -29:00:59.48     605.045       1.9406        2.27333       0.850616      -8.24391      0.746995      1.41338       0.124831      -37.2917      2.82643       8.55161       0.754786      1             99           
12.5     -33.5    17:45:34.551     -29:00:59.47     353.062       1.57826       -0.467806     0.781874      -3.42128      0.739951      0.978048      0.209851      -48.893       6.4804        3.45311       0.740742      1             100          
19.5     -33.5    17:45:28.145     -29:00:59.43     245.455       3.61764       3.17647       1.00352       3.64219       0.866298      1.9689        0.379215      24.4536       5.61179       4.83275       0.928072      1             101          
-1.5     -32.5    17:45:47.357     -29:00:47.51     623.909       1.76494       -10.3109      0.880764      0.306338      0.991057      1.65337       0.141263      89.1491       2.75208       10.3155       0.880868      1             102          
-0.5     -32.5    17:45:46.446     -29:00:47.51     177.322       1.82414       0.641125      1.00873       5.58607       0.968659      3.17092       0.547543      41.7263       5.1369        5.62274       0.969191      1             103          
1.5      -32.5    17:45:44.610     -29:00:47.51     187.38        1.5512        5.68555       0.862196      1.80517       1.00109       3.1835        0.468151      8.80734       4.75054       5.96524       0.875832      1             104          
2.5      -32.5    17:45:43.698     -29:00:47.51     236.324       2.66184       6.27588       0.912401      -1.89032      0.84617       2.77347       0.385097      -8.38128      3.72337       6.55438       0.907077      1             105          
3.5      -32.5    17:45:42.780     -29:00:47.51     353.808       3.64339       8.77363       0.772775      -3.25251      0.906921      2.64469       0.224994      -10.1702      2.73031       9.35711       0.790193      1             106          
4.5      -32.5    17:45:41.869     -29:00:47.49     1063.39       2.39364       5.33313       0.820775      -4.95639      0.879271      0.684668      0.0797964     -21.4516      3.35504       7.28067       0.848386      1             107          
5.5      -32.5    17:45:40.951     -29:00:47.49     1406.73       4.47882       1.35839       0.716954      -1.17886      1.19751       0.127856      0.0677859     -20.4764      16.234        1.79859       0.953549      1             108          
6.5      -32.5    17:45:40.033     -29:00:47.49     1126.2        13.5351       -0.652417     0.809003      2.33051       0.734653      0.214891      0.0657855     52.8197       9.51529       2.42011       0.740308      1             109          
7.5      -32.5    17:45:39.122     -29:00:47.49     2656.23       7.46309       -13.5445      0.893981      8.56893       0.753421      0.603393      0.0322768     73.8403       1.42303       16.0275       0.856162      1             110          
8.5      -32.5    17:45:38.210     -29:00:47.49     2719.98       9.20672       -13.6489      0.890015      0.222955      0.851892      0.501868      0.0327651     89.5321       1.78784       13.6507       0.890005      1             111          
